id;name;birth_year;nationality
A-000000;Dr. Pásztor Jánosné Juhász Katalin;1867;Zöld-foki szigetek
A-000001;Szabó András Sándor;1831;Nepál
A-000002;Szabó K. Dóra;1856;Belgium
A-000003;Nagyné Fülöp Magdolna;1896;Brazília
A-000004;Dr. Katona Kálmán Albert;1962;Örményország
A-000005;Simon Péter Áron;1814;Salamon-szigetek
A-000006;Kovács Tamásné;1926;Mali
A-000007;Lászlóné Dr. Nagy Anikó;1925;Zöld-foki szigetek
A-000008;Halászné Péter Anna Annamária;1846;Kiribati
A-000009;Fekete R. Bence;1943;Argentína
A-000010;Nagy Györgyné Balogh Éva;1882;Észtország
A-000011;Kovács Ilona Magdolna;1816;Togo
A-000012;Dr. Vincze Krisztiánné;1945;Namíbia
A-000013;Kelemen Ilona;1930;Szingapúr
A-000014;Dr. Baloghné Tóth Mária;1807;Mayotte
A-000015;N. Nagy József;1844;Izrael
A-000016;Bodnárné Dr. Tóth Ildikó;1832;Üzbegisztán
A-000017;B. Török László;1840;Mauritánia
A-000018;Fekete Etelka;1999;Nicaragua
A-000019;L. Kerekes Ákos;1952;Bermuda
A-000020;Budai Tünde Julianna;1882;Azerbajdzsán
