id;name;age;male
O-000000;Szilágyiné Kiss Margit;95;False
O-000001;Dr. J. Sándor Bálint;74;True
O-000002;Katona László Péter;85;True
O-000003;Tóthné Dr. Szabó Aranka Eszter;17;False
O-000004;Dr. Kovács Z. Krisztián;85;True
O-000005;C. Hegedûs Sándor;32;True
O-000006;Németh István;74;True
O-000007;Deák Julianna Anita;10;False
O-000008;Rácz Attila;25;True
O-000009;Dr. Tamás Réka Réka;97;False
O-000010;Rácz Lajos;46;True
O-000011;Dr. E. Nagy Adrienn;17;False
O-000012;Nemes Tibor Mihály;51;True
O-000013;Dr. Varga Simon Virág;88;False
O-000014;Kiss József;62;True
O-000015;Dr. Tóth Orbán Ágnes;87;False
O-000016;Dr. Takács Zoltán;13;True
O-000017;M. Szûcs Róza;98;False
O-000018;Fehér I. László;43;True
O-000019;J. Balogh Sándor;46;True
